document id	author id	frequency
9096	31021	1
9096	47486	1
9104	4650	1
9113	4650	1
9134	62785	1
9163	4650	1
9163	58617	1
9179	62085	1
9265	945	1
9265	50967	1
9265	62085	1
9265	62785	1
9296	945	1
9296	50967	1
9296	62085	1
9296	62785	1
9297	945	1
9297	17232	1
9297	38326	1
9297	39574	1
9297	39930	1
9297	58990	1
9321	57104	1
9321	60182	1
9358	47686	1
9361	17232	1
9361	31021	1
9361	47486	1
9392	48842	1
9400	17232	1
9400	47486	1
9428	945	1
9428	50967	1
9428	62085	1
9428	62785	1
9432	18676	1
9438	45657	1
9446	4924	1
9446	18676	1
9449	57104	1
9462	34242	1
9507	45657	1
9531	945	1
9531	50967	1
9535	945	1
9535	50967	1
9535	62085	1
9535	62785	1
9560	39574	1
9560	39930	1
9600	45657	1
9629	47686	1
9665	17232	1
9665	31021	1
9665	47486	1
9736	47686	1
9790	5398	1
9825	6016	1
9836	4924	1
9867	36593	1
9891	6016	1
9891	17232	1
9891	23183	1
9891	38326	1
9891	39574	1
9891	39930	1
9891	47486	1
9891	58990	1
9891	62085	1
9926	945	1
9926	62085	1
9926	62785	1
9944	45657	1
9951	4924	1
9951	18676	1
9962	60182	1
9988	4650	1
9994	35334	1
10031	5398	1
10107	945	1
10107	6016	1
10107	17232	1
10107	38326	1
10107	39574	1
10107	39930	1
10107	47486	1
10107	62085	1
10115	39930	1
10117	6016	1
10117	57104	1
10117	60182	1
10119	62085	1
10119	62785	1
10125	945	1
10125	50967	1
10125	62085	1
10125	62785	1
10171	39470	1
10180	5398	1
10229	34242	1
10251	25296	1
10254	945	1
10254	50967	1
10273	4650	1
10273	58617	1
10285	945	1
10285	50967	1
10290	4924	1
10290	18676	1
10321	945	1
10321	62085	1
10321	62785	1
10325	4650	1
10404	36593	1
10428	47686	1
10433	62785	1
10458	47686	1
10462	36593	1
10499	45657	1
10520	17232	1
10520	31021	1
10520	47486	1
10549	62085	1
10549	62785	1
10590	58617	1
10594	4650	1
10594	58617	1
10630	47686	1
10638	45657	1
10668	945	1
10668	50967	1
10668	62085	1
10668	62785	1
10674	57104	1
10674	60182	1
10677	36593	1
10744	62785	1
10758	39470	1
10765	45657	1
10780	945	1
10780	50967	1
10780	62085	1
10787	62085	1
10793	62085	1
10793	62785	1
10834	17232	1
10834	31021	1
10834	38326	1
10834	47486	1
10835	945	1
10835	50967	1
10835	62085	1
10840	62085	1
10874	57104	1
10874	60182	1
10884	6016	1
10885	4650	1
10885	58617	1
10886	4650	1
10886	58617	1
10917	4924	1
10926	945	1
10926	50967	1
10926	62085	1
10926	62785	1
10930	17232	1
10930	47486	1
10965	945	1
10965	62085	1
10965	62785	1
10986	57104	1
10986	60182	1
11010	30564	1
11039	4650	1
11039	58617	1
11046	45657	1
11047	6016	1
11047	23183	1
11047	38326	1
11047	50967	1
11047	62085	1
11106	4924	1
11106	18676	1
11114	47686	1
11153	4924	1
11153	18676	1
11178	35334	1
11185	30363	1
